,track_name,artist,genre,playlist_category,danceability,energy,valence,tempo,duration_ms,popularity,cluster,cluster_name
68,Sky Dance Wave,Artist_438,Hip-Hop,Romantic,0.075,0.504,0.416,148.67,117599,11,4,Fast Short Tracks
69,Light Dance Dream,Artist_87,Indie,Party,0.987,0.894,0.595,196.69,281853,83,3,Fast Danceable (High Tempo)
70,Sky Fire,Artist_212,Country,Focus,0.772,0.936,0.42,76.5,209339,32,0,Chill Danceable (Slow Tempo)
71,Wave Light,Artist_165,EDM,Party,0.199,0.807,0.153,79.98,264939,14,2,Sad Long Tracks
72,Heart Love,Artist_79,Jazz,Focus,0.006,0.636,0.469,111.64,111854,49,4,Fast Short Tracks
73,Wave Dance,Artist_3,Indie,Chill,0.815,0.304,0.691,177.07,136396,69,3,Fast Danceable (High Tempo)
74,Love Light,Artist_464,Country,Workout,0.707,0.983,0.799,125.41,184326,25,0,Chill Danceable (Slow Tempo)
75,Dream Night,Artist_62,Hip-Hop,Romantic,0.729,0.274,0.493,105.03,71110,14,0,Chill Danceable (Slow Tempo)
76,Fire Beat,Artist_425,Rock,Chill,0.771,0.203,0.165,138.57,342687,39,3,Fast Danceable (High Tempo)
77,Wave Fire,Artist_84,Classical,Romantic,0.074,0.442,0.415,96.47,155929,12,2,Sad Long Tracks
78,Wave Night,Artist_421,Hip-Hop,Travel,0.358,0.057,0.786,116.16,136610,49,4,Fast Short Tracks
79,Wave Light Heart,Artist_364,Classical,Party,0.116,0.978,0.413,106.56,318560,84,2,Sad Long Tracks
80,Fire Heart Wave,Artist_16,Rock,Sleep,0.863,0.588,0.697,172.58,277955,18,3,Fast Danceable (High Tempo)
81,Beat Dream Sky,Artist_56,Jazz,Romantic,0.623,0.557,0.507,189.4,114025,1,4,Fast Short Tracks
82,Heart Night Love,Artist_231,Indie,Workout,0.331,0.656,0.241,166.34,160886,4,4,Fast Short Tracks
83,Wave Night Light,Artist_155,Rock,Romantic,0.064,0.497,0.796,121.47,192572,12,1,Happy Long Tracks
84,Light Sky,Artist_456,Indie,Travel,0.311,0.032,0.084,130.61,100887,26,4,Fast Short Tracks
85,Heart Night,Artist_22,Jazz,Romantic,0.325,0.612,0.525,77.51,191886,32,1,Happy Long Tracks
86,Heart Sky,Artist_78,Pop,Party,0.73,0.716,0.209,164.56,167091,79,3,Fast Danceable (High Tempo)
87,Dance Light,Artist_27,Bollywood,Sleep,0.638,0.417,0.067,143.51,205611,52,2,Sad Long Tracks
88,Wave Light Love,Artist_318,Jazz,Party,0.887,0.757,0.503,186.34,359978,99,3,Fast Danceable (High Tempo)
89,Night Dream Sky,Artist_462,Pop,Workout,0.472,0.227,0.5,88.09,244059,90,1,Happy Long Tracks
90,Night Light,Artist_260,Country,Sleep,0.12,0.221,0.707,166.36,66086,15,4,Fast Short Tracks
91,Sky Wave,Artist_332,EDM,Party,0.713,0.161,0.745,155.85,333654,8,3,Fast Danceable (High Tempo)
92,Heart Fire,Artist_155,Country,Focus,0.761,0.372,0.728,97.22,356976,92,1,Happy Long Tracks
93,Light Dance Sky,Artist_360,Jazz,Party,0.561,0.847,0.41,153.43,242575,30,3,Fast Danceable (High Tempo)
94,Night Beat,Artist_158,Pop,Chill,0.771,0.828,0.632,189.41,74200,54,4,Fast Short Tracks
95,Love Wave Heart,Artist_224,Bollywood,Sleep,0.494,0.383,0.577,188.58,90141,67,4,Fast Short Tracks
96,Sky Dream,Artist_317,Country,Focus,0.523,0.589,0.422,160.75,159668,70,4,Fast Short Tracks
97,Light Beat Love,Artist_258,Classical,Focus,0.428,0.721,0.597,66.73,306844,95,1,Happy Long Tracks
98,Night Dream,Artist_263,Country,Sleep,0.025,0.241,0.947,182.12,204480,90,4,Fast Short Tracks
99,Heart Light,Artist_492,Jazz,Chill,0.108,0.168,0.193,152.09,73594,8,4,Fast Short Tracks
100,Beat Dream,Artist_267,Bollywood,Sleep,0.031,0.972,0.906,103.46,199298,63,1,Happy Long Tracks
101,Sky Heart,Artist_201,Country,Focus,0.636,0.618,0.053,86.22,92212,93,0,Chill Danceable (Slow Tempo)
102,Heart Fire,Artist_207,Rock,Sleep,0.314,0.981,0.308,76.27,322211,17,2,Sad Long Tracks
103,Night Heart,Artist_187,Bollywood,Romantic,0.509,0.338,0.288,67.03,105663,16,0,Chill Danceable (Slow Tempo)
104,Wave Dream Fire,Artist_320,Indie,Travel,0.908,0.703,0.626,165.57,335376,45,3,Fast Danceable (High Tempo)
105,Dream Beat,Artist_153,Hip-Hop,Sleep,0.249,0.223,0.131,93.02,226978,68,2,Sad Long Tracks
106,Dream Heart,Artist_279,Jazz,Chill,0.41,0.261,0.882,63.4,194262,10,1,Happy Long Tracks
107,Fire Sky Dream,Artist_38,Country,Party,0.756,0.512,0.829,115.62,220717,80,1,Happy Long Tracks
108,Beat Love,Artist_354,Bollywood,Focus,0.229,0.32,0.652,127.56,150868,19,4,Fast Short Tracks
109,Fire Wave Dance,Artist_278,Bollywood,Party,0.077,0.168,0.458,83.69,307454,39,2,Sad Long Tracks
110,Sky Fire Light,Artist_76,EDM,Sleep,0.29,0.263,0.933,66.17,321102,50,1,Happy Long Tracks
111,Fire Beat,Artist_238,Bollywood,Romantic,0.161,0.036,0.831,86.48,167803,77,1,Happy Long Tracks
112,Sky Night Wave,Artist_96,Pop,Party,0.93,0.704,0.499,155.07,205002,60,3,Fast Danceable (High Tempo)
113,Light Beat Heart,Artist_482,Bollywood,Romantic,0.808,0.492,0.702,71.51,156177,68,0,Chill Danceable (Slow Tempo)
114,Night Sky,Artist_410,Indie,Focus,0.633,0.094,0.567,137.71,323362,32,3,Fast Danceable (High Tempo)
115,Wave Sky,Artist_308,Indie,Party,0.871,0.172,0.588,80.5,278891,82,0,Chill Danceable (Slow Tempo)
116,Night Beat,Artist_64,EDM,Focus,0.804,0.103,0.331,87.4,199747,80,0,Chill Danceable (Slow Tempo)
117,Heart Beat Night,Artist_127,EDM,Focus,0.187,0.613,0.462,115.03,84384,89,4,Fast Short Tracks
118,Wave Fire Sky,Artist_339,EDM,Focus,0.893,0.094,0.078,74.12,253883,64,0,Chill Danceable (Slow Tempo)
119,Beat Love,Artist_198,Indie,Romantic,0.539,0.754,0.357,84.25,154100,80,0,Chill Danceable (Slow Tempo)
120,Heart Beat,Artist_235,Jazz,Party,0.807,0.021,0.696,108.85,76665,86,0,Chill Danceable (Slow Tempo)
121,Heart Wave,Artist_455,EDM,Travel,0.896,0.249,0.953,106.15,232661,24,1,Happy Long Tracks
122,Sky Light,Artist_343,Classical,Party,0.318,0.891,0.963,164.9,219966,28,1,Happy Long Tracks
123,Beat Heart Wave,Artist_168,Rock,Travel,0.11,0.719,0.556,70.47,359833,23,1,Happy Long Tracks
124,Light Dream Fire,Artist_487,Pop,Focus,0.228,0.073,0.607,180.46,230396,63,4,Fast Short Tracks
125,Beat Dream Sky,Artist_311,EDM,Focus,0.427,0.821,0.186,174.27,350184,56,2,Sad Long Tracks
126,Light Love Sky,Artist_488,Indie,Travel,0.818,0.493,0.695,167.24,85927,85,0,Chill Danceable (Slow Tempo)
127,Fire Beat Heart,Artist_53,Indie,Workout,0.861,0.847,0.071,103.31,73514,73,0,Chill Danceable (Slow Tempo)
128,Dance Wave Fire,Artist_468,Hip-Hop,Party,0.007,0.601,0.285,175.2,116058,66,4,Fast Short Tracks
129,Dream Night Sky,Artist_214,EDM,Workout,0.511,0.682,0.668,85.59,303128,38,1,Happy Long Tracks
130,Night Fire Sky,Artist_160,Pop,Romantic,0.417,0.994,0.31,77.42,121894,28,0,Chill Danceable (Slow Tempo)
131,Fire Dream,Artist_490,Classical,Focus,0.222,0.232,0.05,66.29,182262,26,2,Sad Long Tracks
132,Love Fire,Artist_140,Pop,Sleep,0.12,0.624,0.832,191.5,139634,60,4,Fast Short Tracks
133,Wave Night Dance,Artist_356,Hip-Hop,Party,0.338,0.46,0.31,103.12,266866,60,2,Sad Long Tracks
134,Wave Fire Beat,Artist_328,EDM,Sleep,0.943,0.039,0.063,188.47,210457,91,3,Fast Danceable (High Tempo)
135,Beat Fire Dream,Artist_296,Country,Workout,0.323,0.014,0.075,98.17,164303,55,2,Sad Long Tracks
136,Night Beat,Artist_64,Country,Focus,0.519,0.119,0.252,187.06,261682,25,3,Fast Danceable (High Tempo)
137,Dream Light,Artist_466,Country,Focus,0.703,0.649,0.178,186.55,342875,21,3,Fast Danceable (High Tempo)
138,Love Light Fire,Artist_495,Rock,Romantic,0.364,0.567,0.774,189.31,229959,25,4,Fast Short Tracks
139,Dance Dream,Artist_161,Pop,Travel,0.972,0.553,0.322,129.46,252330,58,3,Fast Danceable (High Tempo)
140,Light Wave Heart,Artist_98,Country,Sleep,0.962,0.032,0.805,181.23,132586,38,3,Fast Danceable (High Tempo)
141,Wave Light Beat,Artist_408,EDM,Romantic,0.252,0.469,0.174,193.11,147862,46,4,Fast Short Tracks
142,Dream Dance Light,Artist_77,EDM,Focus,0.497,0.925,0.493,105.45,287976,75,2,Sad Long Tracks
143,Fire Sky Dance,Artist_369,Country,Party,0.301,0.398,0.688,118.64,103745,92,4,Fast Short Tracks
144,Sky Dance,Artist_59,Indie,Sleep,0.285,0.625,0.652,160.69,265020,4,4,Fast Short Tracks
145,Sky Fire,Artist_287,Hip-Hop,Party,0.037,0.78,0.601,102.05,304884,19,1,Happy Long Tracks
146,Heart Wave Night,Artist_336,Jazz,Workout,0.61,0.784,0.925,165.53,146575,62,4,Fast Short Tracks
147,Dream Fire,Artist_14,EDM,Workout,0.503,0.519,0.229,70.34,348964,24,2,Sad Long Tracks
148,Dream Fire Night,Artist_457,Indie,Party,0.051,0.858,0.494,133.29,342336,86,2,Sad Long Tracks
149,Beat Heart Dance,Artist_49,Country,Romantic,0.279,0.391,0.884,77.12,116968,55,1,Happy Long Tracks
150,Love Fire Beat,Artist_51,Classical,Travel,0.908,0.889,0.078,101.07,100642,25,0,Chill Danceable (Slow Tempo)
151,Wave Love Beat,Artist_98,EDM,Workout,0.24,0.24,0.056,96.21,180525,72,2,Sad Long Tracks
152,Love Heart Sky,Artist_32,Indie,Party,0.145,0.28,0.233,177.45,108145,84,4,Fast Short Tracks
153,Beat Light Fire,Artist_265,Hip-Hop,Romantic,0.489,0.053,0.633,87.09,110191,65,0,Chill Danceable (Slow Tempo)
154,Fire Sky Beat,Artist_162,Pop,Chill,0.986,0.796,0.26,173.18,173316,68,3,Fast Danceable (High Tempo)
155,Love Beat Heart,Artist_452,Country,Sleep,0.242,0.417,0.19,171.15,95048,12,4,Fast Short Tracks
156,Dream Dance Wave,Artist_71,Pop,Sleep,0.672,0.229,0.459,129.84,129044,25,0,Chill Danceable (Slow Tempo)
157,Beat Love,Artist_112,Hip-Hop,Party,0.762,0.232,0.614,92.74,258726,21,0,Chill Danceable (Slow Tempo)
158,Beat Dream,Artist_53,Classical,Focus,0.238,0.901,0.249,91.77,205432,19,2,Sad Long Tracks
159,Dream Love Sky,Artist_184,Rock,Romantic,0.728,0.834,0.301,125.09,292821,98,3,Fast Danceable (High Tempo)
160,Heart Fire Dance,Artist_207,Pop,Focus,0.368,0.554,0.614,61.23,161122,70,0,Chill Danceable (Slow Tempo)
161,Heart Beat Sky,Artist_425,Classical,Workout,0.632,0.616,0.946,134.39,122502,52,0,Chill Danceable (Slow Tempo)
162,Sky Night Dance,Artist_450,Rock,Party,0.634,0.474,0.675,193.39,284515,54,3,Fast Danceable (High Tempo)
163,Light Love,Artist_274,EDM,Sleep,0.536,0.392,0.783,81.66,240900,35,1,Happy Long Tracks
164,Fire Night Love,Artist_393,Pop,Chill,0.09,0.915,0.367,140.27,131899,3,4,Fast Short Tracks
165,Fire Wave,Artist_88,Indie,Focus,0.835,0.126,0.272,194.65,229227,33,3,Fast Danceable (High Tempo)
166,Wave Dream,Artist_455,Classical,Party,0.321,0.418,0.454,180.47,172109,73,4,Fast Short Tracks
167,Dream Dance,Artist_494,Jazz,Focus,0.187,0.345,0.807,179.05,344277,7,1,Happy Long Tracks
168,Wave Fire,Artist_121,Rock,Romantic,0.041,0.498,0.456,175.06,319458,27,2,Sad Long Tracks
169,Sky Heart Dream,Artist_149,Bollywood,Focus,0.591,0.458,0.847,103.26,82720,1,0,Chill Danceable (Slow Tempo)
170,Dream Sky,Artist_94,Bollywood,Romantic,0.678,0.519,0.989,184.69,268791,40,3,Fast Danceable (High Tempo)
171,Wave Love,Artist_279,Pop,Party,0.017,0.14,0.072,191.79,63379,18,4,Fast Short Tracks
172,Wave Beat Light,Artist_129,Country,Workout,0.512,0.513,0.045,129.41,309633,35,2,Sad Long Tracks
173,Night Fire,Artist_479,Rock,Sleep,0.226,0.242,0.15,109.64,247731,81,2,Sad Long Tracks
174,Sky Night,Artist_367,Bollywood,Travel,0.645,0.184,0.384,117.99,297021,39,3,Fast Danceable (High Tempo)
175,Heart Light,Artist_499,Rock,Romantic,0.174,0.065,0.131,106.79,114758,11,4,Fast Short Tracks
176,Heart Night Wave,Artist_7,Rock,Workout,0.691,0.763,0.871,89.74,307704,45,1,Happy Long Tracks
177,Beat Dance,Artist_373,EDM,Sleep,0.387,0.427,0.023,146.58,128187,75,2,Sad Long Tracks
178,Beat Heart,Artist_65,EDM,Sleep,0.937,0.627,0.316,138.76,338452,3,3,Fast Danceable (High Tempo)
179,Dream Beat Wave,Artist_76,Bollywood,Party,0.138,0.728,0.185,124.76,215833,77,2,Sad Long Tracks
180,Wave Light Dance,Artist_452,Bollywood,Travel,0.341,0.679,0.932,73.42,135304,52,1,Happy Long Tracks
181,Beat Sky Heart,Artist_372,Rock,Focus,0.113,0.471,0.669,171.57,214847,60,4,Fast Short Tracks
182,Night Sky,Artist_449,Jazz,Focus,0.925,0.388,0.912,84.49,175857,92,0,Chill Danceable (Slow Tempo)
183,Fire Dance Beat,Artist_377,Classical,Sleep,0.877,0.376,0.972,76.04,255624,58,1,Happy Long Tracks
184,Love Dance Heart,Artist_472,Pop,Workout,0.258,0.64,0.497,147.23,170946,54,4,Fast Short Tracks
185,Dance Fire,Artist_129,Classical,Travel,0.66,0.495,0.234,115.81,173002,34,0,Chill Danceable (Slow Tempo)
186,Sky Heart Wave,Artist_203,Indie,Travel,0.817,0.849,0.194,68.37,156791,28,0,Chill Danceable (Slow Tempo)
187,Light Love Fire,Artist_90,EDM,Focus,0.555,0.875,0.223,109.78,256398,61,2,Sad Long Tracks
188,Fire Beat,Artist_483,Pop,Chill,0.53,0.171,0.709,168.05,343931,66,3,Fast Danceable (High Tempo)
189,Light Fire Dance,Artist_202,Pop,Romantic,0.242,0.136,0.04,146.13,281460,66,2,Sad Long Tracks
190,Dance Love Night,Artist_245,Pop,Travel,0.093,0.63,0.051,110.79,295191,37,2,Sad Long Tracks
191,Fire Beat Wave,Artist_427,Classical,Sleep,0.897,0.301,0.608,86.85,108793,16,0,Chill Danceable (Slow Tempo)
192,Wave Heart Dance,Artist_42,EDM,Sleep,0.9,0.019,0.642,148.45,67153,72,0,Chill Danceable (Slow Tempo)
193,Beat Light Heart,Artist_323,Country,Sleep,0.633,0.889,0.665,184.26,230165,75,3,Fast Danceable (High Tempo)
194,Dance Sky Light,Artist_125,Classical,Chill,0.339,0.227,0.372,150.48,115766,45,4,Fast Short Tracks
195,Fire Night Wave,Artist_400,Pop,Romantic,0.349,0.929,0.806,173.81,328075,15,1,Happy Long Tracks
196,Night Light Dream,Artist_81,Country,Party,0.726,0.717,0.534,133.01,87040,4,0,Chill Danceable (Slow Tempo)
197,Fire Dance,Artist_6,Hip-Hop,Workout,0.897,0.763,0.105,160.52,174329,23,3,Fast Danceable (High Tempo)
198,Wave Light Sky,Artist_72,Hip-Hop,Travel,0.887,0.201,0.797,185.47,208344,72,3,Fast Danceable (High Tempo)
199,Fire Sky,Artist_161,Indie,Party,0.78,0.234,0.953,168.25,125939,80,3,Fast Danceable (High Tempo)
200,Heart Dream,Artist_127,Pop,Workout,0.642,0.521,0.06,187.38,72801,16,4,Fast Short Tracks
201,Love Light Dream,Artist_480,Bollywood,Focus,0.084,0.172,0.391,120.36,87064,88,4,Fast Short Tracks
202,Love Wave Sky,Artist_428,Pop,Chill,0.162,0.305,0.488,186.59,63985,53,4,Fast Short Tracks
203,Dance Night,Artist_496,Bollywood,Sleep,0.899,0.321,0.146,147.02,286349,10,3,Fast Danceable (High Tempo)
204,Wave Sky,Artist_388,Classical,Focus,0.606,0.16,0.868,181.81,328693,34,3,Fast Danceable (High Tempo)
205,Dance Wave Heart,Artist_452,Classical,Party,0.009,0.205,0.284,65.51,279138,18,2,Sad Long Tracks
206,Love Sky,Artist_130,Jazz,Workout,0.101,0.789,0.783,152.1,72801,53,4,Fast Short Tracks
207,Night Wave Beat,Artist_82,EDM,Sleep,0.664,0.167,0.671,178.72,289665,16,3,Fast Danceable (High Tempo)
208,Night Love Dream,Artist_124,Bollywood,Sleep,0.005,0.028,0.598,84.39,108442,62,4,Fast Short Tracks
209,Wave Sky,Artist_275,EDM,Travel,0.161,0.629,0.192,152.65,332649,52,2,Sad Long Tracks
210,Fire Night,Artist_218,Country,Travel,0.549,0.976,0.221,175.49,123275,57,4,Fast Short Tracks
211,Wave Fire Beat,Artist_226,Pop,Chill,0.692,0.331,0.047,100.31,351765,72,2,Sad Long Tracks
212,Dance Sky Beat,Artist_410,Jazz,Workout,0.652,0.119,0.241,116.73,267046,64,2,Sad Long Tracks
213,Wave Love Night,Artist_21,Bollywood,Travel,0.224,0.57,0.345,139.73,245635,84,2,Sad Long Tracks
214,Fire Sky,Artist_417,Jazz,Romantic,0.712,0.906,0.833,132.68,224487,23,1,Happy Long Tracks
215,Dream Fire,Artist_230,Country,Chill,0.237,0.784,0.366,65.49,341682,40,2,Sad Long Tracks
216,Light Night,Artist_243,Jazz,Chill,0.325,0.623,0.755,73.81,289641,14,1,Happy Long Tracks
217,Love Beat,Artist_198,Bollywood,Party,0.746,0.315,0.439,74.07,75332,80,0,Chill Danceable (Slow Tempo)
218,Wave Dance Sky,Artist_16,Classical,Chill,0.65,0.542,0.785,96.72,210234,18,1,Happy Long Tracks
219,Fire Sky,Artist_160,Indie,Workout,0.849,0.091,0.976,94.42,277948,94,1,Happy Long Tracks
220,Dance Night Fire,Artist_396,Hip-Hop,Chill,0.658,0.679,0.24,163.91,346738,36,3,Fast Danceable (High Tempo)
221,Wave Fire Beat,Artist_69,Hip-Hop,Sleep,0.568,0.725,0.862,140.18,71793,39,4,Fast Short Tracks
222,Light Fire,Artist_317,Classical,Sleep,0.094,0.965,0.622,166.96,342994,41,1,Happy Long Tracks
223,Sky Dream,Artist_471,EDM,Sleep,0.368,0.26,0.817,69.79,256274,1,1,Happy Long Tracks
224,Love Dream,Artist_375,EDM,Chill,0.265,0.018,0.652,127.93,83936,81,4,Fast Short Tracks
225,Wave Sky Dance,Artist_102,Country,Romantic,0.244,0.546,0.424,105.33,325971,92,2,Sad Long Tracks
226,Dance Sky,Artist_334,Rock,Workout,0.973,0.707,0.228,178.99,185306,71,3,Fast Danceable (High Tempo)
227,Sky Light Dance,Artist_325,Indie,Chill,0.393,0.79,0.07,159.09,120215,84,4,Fast Short Tracks
228,Night Love Beat,Artist_479,Pop,Romantic,0.892,0.194,0.536,181.7,250553,42,3,Fast Danceable (High Tempo)
229,Wave Sky Love,Artist_339,Country,Sleep,0.631,0.262,0.99,66.5,291567,24,1,Happy Long Tracks
230,Fire Love,Artist_339,Jazz,Travel,0.795,0.513,0.738,160.92,213382,65,3,Fast Danceable (High Tempo)
231,Wave Love Dream,Artist_303,Jazz,Travel,0.503,0.331,0.327,135.6,226508,18,2,Sad Long Tracks
